model,subset_accuracy,hamming_loss,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro
Naive Bayes (TF-IDF),0.2894,0.1817,0.7448,0.5066,0.603,0.7552,0.3402,0.4053
Linear SVM (TF-IDF),0.3476,0.1724,0.6787,0.6972,0.6878,0.6404,0.6698,0.6543
